"n, k, d",time,size
"('n = ', '3, k = 2, d = 0.2')",0.00035180330276489256,12.34
"('n = ', '3, k = 2, d = 0.5')",0.0005100870132446289,67.03
"('n = ', '3, k = 5, d = 0.2')",0.0005900812149047852,68.96
"('n = ', '3, k = 5, d = 0.5')",0.0011208105087280274,206.55
"('n = ', '3, k = 10, d = 0.2')",0.0009927797317504884,163.45
"('n = ', '3, k = 10, d = 0.5')",0.0021278023719787597,398.12
"('n = ', '4, k = 2, d = 0.2')",0.0004193234443664551,32.51
"('n = ', '4, k = 2, d = 0.5')",0.0010008883476257324,301.94
"('n = ', '4, k = 5, d = 0.2')",0.0010320067405700684,246.58
"('n = ', '4, k = 5, d = 0.5')",0.002389383316040039,921.53
"('n = ', '4, k = 10, d = 0.2')",0.0019222855567932128,678.61
"('n = ', '4, k = 10, d = 0.5')",0.0050888252258300785,1820.32
"('n = ', '5, k = 2, d = 0.2')",0.0007407879829406739,132.31
"('n = ', '5, k = 2, d = 0.5')",0.00234130859375,1319.19
"('n = ', '5, k = 5, d = 0.2')",0.00866809368133545,1092.43
"('n = ', '5, k = 5, d = 0.5')",0.013325121402740479,4092.26
"('n = ', '5, k = 10, d = 0.2')",0.012288579940795899,2968.46
"('n = ', '5, k = 10, d = 0.5')",0.04131078958511353,7878.61
"('n = ', '6, k = 2, d = 0.2')",0.0010423588752746583,333.67
"('n = ', '6, k = 2, d = 0.5')",0.046308724880218505,5345.43
"('n = ', '6, k = 5, d = 0.2')",0.018751397132873535,3878.36
"('n = ', '6, k = 5, d = 0.5')",0.09699601411819458,16916.05
"('n = ', '6, k = 10, d = 0.2')",0.07179282426834106,12475.8
"('n = ', '6, k = 10, d = 0.5')",0.16745288848876952,33938.58
"('n = ', '7, k = 2, d = 0.2')",0.008453476428985595,1131.81
"('n = ', '7, k = 2, d = 0.5')",0.09184664964675904,20808.23
"('n = ', '7, k = 5, d = 0.2')",0.06957231760025025,17779.18
"('n = ', '7, k = 5, d = 0.5')",0.3764500093460083,71238.27
"('n = ', '7, k = 10, d = 0.2')",0.3143052697181702,49921.44
"('n = ', '7, k = 10, d = 0.5')",0.803065984249115,144195.0
"('n = ', '8, k = 2, d = 0.2')",0.025072174072265627,4168.1
"('n = ', '8, k = 2, d = 0.5')",0.4694684147834778,84542.1
"('n = ', '8, k = 5, d = 0.2')",0.38231683254241944,75367.01
"('n = ', '8, k = 5, d = 0.5')",1.6013140392303467,289647.39
"('n = ', '8, k = 10, d = 0.2')",1.2546066331863404,220832.69
"('n = ', '8, k = 10, d = 0.5')",3.518874626159668,584849.78
"('n = ', '9, k = 2, d = 0.2')",0.09950028657913208,13886.86
"('n = ', '9, k = 2, d = 0.5')",2.0564426589012146,332685.7
"('n = ', '9, k = 5, d = 0.2')",1.7914316082000732,274035.6
"('n = ', '9, k = 5, d = 0.5')",9.018760490417481,1220919.03
"('n = ', '9, k = 10, d = 0.2')",6.619316444396973,831518.46
"('n = ', '9, k = 10, d = 0.5')",20.51626753568649,2440301.2
"('n = ', '10, k = 2, d = 0.2')",0.25110454320907594,56369.26
"('n = ', '10, k = 2, d = 0.5')",8.946297092437744,1428654.45
"('n = ', '10, k = 5, d = 0.2')",7.934479801654816,1216276.3
"('n = ', '10, k = 5, d = 0.5')",33.159963405132295,4765433.82
"('n = ', '10, k = 10, d = 0.2')",25.308856291770937,3359666.71
"('n = ', '10, k = 10, d = 0.5')",72.04499451637268,9626389.51
