"n, k, d",time,size
"('n = ', '3, k = 2, d = 0.2')",1.9953250885009765e-05,11.87
"('n = ', '3, k = 2, d = 0.5')",2.000570297241211e-05,48.43
"('n = ', '3, k = 5, d = 0.2')",6.995916366577149e-05,44.36
"('n = ', '3, k = 5, d = 0.5')",0.00011993169784545898,132.44
"('n = ', '3, k = 10, d = 0.2')",0.00011002540588378907,107.82
"('n = ', '3, k = 10, d = 0.5')",0.00036006927490234375,263.46
"('n = ', '4, k = 2, d = 0.2')",3.0052661895751952e-05,25.3
"('n = ', '4, k = 2, d = 0.5')",0.00020145416259765626,175.89
"('n = ', '4, k = 5, d = 0.2')",0.00019003152847290038,138.78
"('n = ', '4, k = 5, d = 0.5')",0.0007357120513916016,586.01
"('n = ', '4, k = 10, d = 0.2')",0.0005000925064086914,402.75
"('n = ', '4, k = 10, d = 0.5')",0.0016013741493225097,1283.66
"('n = ', '5, k = 2, d = 0.2')",9.003639221191406e-05,59.79
"('n = ', '5, k = 2, d = 0.5')",0.0006403303146362304,600.28
"('n = ', '5, k = 5, d = 0.2')",0.0006785440444946289,408.86
"('n = ', '5, k = 5, d = 0.5')",0.0030370688438415526,2165.85
"('n = ', '5, k = 10, d = 0.2')",0.0081752610206604,1415.54
"('n = ', '5, k = 10, d = 0.5')",0.025621914863586427,4666.97
"('n = ', '6, k = 2, d = 0.2')",0.000110015869140625,122.16
"('n = ', '6, k = 2, d = 0.5')",0.0020372152328491213,1937.23
"('n = ', '6, k = 5, d = 0.2')",0.00833298921585083,1302.79
"('n = ', '6, k = 5, d = 0.5')",0.05921816825866699,9425.26
"('n = ', '6, k = 10, d = 0.2')",0.031951584815979005,5338.4
"('n = ', '6, k = 10, d = 0.5')",0.11102151155471801,20142.5
"('n = ', '7, k = 2, d = 0.2')",0.00026115179061889646,307.17
"('n = ', '7, k = 2, d = 0.5')",0.026337618827819823,6479.46
"('n = ', '7, k = 5, d = 0.2')",0.018680126667022706,4744.61
"('n = ', '7, k = 5, d = 0.5')",0.138029568195343,33107.11
"('n = ', '7, k = 10, d = 0.2')",0.07061146020889282,20634.35
"('n = ', '7, k = 10, d = 0.5')",0.4780591511726379,77864.41
"('n = ', '8, k = 2, d = 0.2')",0.0007471823692321777,688.19
"('n = ', '8, k = 2, d = 0.5')",0.12793189764022828,20556.11
"('n = ', '8, k = 5, d = 0.2')",0.08053913354873657,16863.29
"('n = ', '8, k = 5, d = 0.5')",0.7007250237464905,123481.07
"('n = ', '8, k = 10, d = 0.2')",0.36497216939926147,71188.51
"('n = ', '8, k = 10, d = 0.5')",1.9923053646087647,302918.75
"('n = ', '9, k = 2, d = 0.2')",0.0021960806846618654,1774.13
"('n = ', '9, k = 2, d = 0.5')",0.39824010610580446,72112.32
"('n = ', '9, k = 5, d = 0.2')",0.2849742436408997,48749.95
"('n = ', '9, k = 5, d = 0.5')",3.72792387008667,495979.55
"('n = ', '9, k = 10, d = 0.2')",1.8501510047912597,260318.4
"('n = ', '9, k = 10, d = 0.5')",11.713014621734619,1311281.91
"('n = ', '10, k = 2, d = 0.2')",0.011867904663085937,4172.88
"('n = ', '10, k = 2, d = 0.5')",1.4963985061645508,285981.52
"('n = ', '10, k = 5, d = 0.2')",0.7730522847175598,158981.2
"('n = ', '10, k = 5, d = 0.5')",14.085012686252593,1944759.39
"('n = ', '10, k = 10, d = 0.2')",7.5693318343162534,1093292.66
"('n = ', '10, k = 10, d = 0.5')",41.67606878042221,5092002.19
